2788;0373191049;1;978300760
18;0373191413;3;978302109
278418;0373191758;4;978301968
278;0373191855;4;978300275
274;0373191960;6;978824291
2788;0373192118;7;978302268
2741;0373192231;0;978302039
2718;0373192258;0;978300719
28;0373193610;7;978302268
84;0373194854;8;978824268
418;0373194897;10;978302281
41;0373194935;9;978302124
40;0373194943;0;978301753
67;037319501X;0;978302188
98;0373195095;0;978824268
90;0373195109;7;978301777
89;0373195168;6;978300719
88;0373195273;4;978301713
87;0373195486;5;978302039
86;0373195680;3;978302205
27;0373195788;2;978300760
76;0373195818;0;978300055
75;0373195877;0;978824195
74;0373195966;1;978300103
73;0373196288;0;978824351
72;0373217129;1;978301953
71;037322009X;0;978300055
