276725;0345451040;0;978298958
276726;0155061224;5;978298458
276727;0446520802;0;978299269
276729;0521656150;3;978298542
276729;0521795028;6;978298434
276733;2080674722;0;978298391
276736;3257224281;8;978299773
276737;0600570967;6;978298542
276744;0385501200;7;978300025
276745;342310538;10;978299046
276746;0425115801;0;978299026
276746;0449006522;0;978299839
276746;0553561618;0;978298813
276746;0553564510;0;978299173
276746;0786013990;0;978299809
276746;0786014512;0;978299297
276747;0060517794;9;978298625
276747;0451192001;0;978299712
276747;0609801279;0;978299889
276747;0671537458;9;978298413
276747;0679776818;8;978300002
